"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2008 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
,,,,,,,SCHOOL CODES & Class,,, TIF Project name & legal descriptions,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,BASESCH,UNIFSCH,CLASS,REMARKS,YEAR,RESTIFBV,RESTIFEV,COMTIFBV,COMTIFEV,INDTIFBV,INDTIFEV,OTHTIFBV,OTHTIFEV,OTHDESC,TOTTIFBV,TOTTIFEV,TOTRATE,TIFEXTAX,TIFBSTAX
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",1994,0,0,0,0,0,0,0,0,,0,0,2.9978,0.00,0.00
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",1995,0,0,0,0,0,0,0,0,,"67,145","25,405",2.8513,676.46,"1,787.87"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",1996,0,0,0,0,0,0,0,0,,"67,145","589,625",2.6627,"16,407.00","1,868.41"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",1997,0,0,0,0,0,0,0,0,,"67,145","589,625",2.770471,"16,335.39","1,860.23"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",1998,0,0,"67,145","589,625",0,0,0,0,,"67,145","589,625",2.283899,"14,999.96","1,533.52"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",1999,0,0,"67,145","619,105",0,0,0,0,,"67,145","619,105",2.242644,"13,884.32","1,505.82"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2000,0,0,"67,145","806,075",0,0,0,0,,"67,145","806,075",2.172859,"17,514.87","1,458.97"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2001,0,0,"67,145","828,890",0,0,0,0,,"67,145","828,890",2.199674,"18,232.88","1,476.97"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2002,0,0,"67,145","828,890",0,0,0,0,,"67,145","828,890",2.269407,"18,810.89","1,523.79"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2003,0,0,"67,145","828,890",0,0,0,0,,"67,145","828,890",2.394463,"19,847.46","1,607.76"
01-0001,ADAMS,1,TIF R.L. FRIDLEY THEATRES INC,3/17/1994,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Fridley Theatres
Lots 12-18, Block 17, original town, Hastings - Area I
Description: Provided grant funds for demolition of existing property and as incentive to build 3 new theaters in downtown area.
",2004,0,0,"67,145","828,890",0,0,0,0,,"67,145","828,890",2.372993,"19,669.50","1,593.35"
