"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2013 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
,,,,,,,SCHOOL CODES & Class,,, TIF Project name & legal descriptions,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,BASESCH,UNIFSCH,CLASS,REMARKS,YEAR,RESTIFBV,RESTIFEV,COMTIFBV,COMTIFEV,INDTIFBV,INDTIFEV,OTHTIFBV,OTHTIFEV,OTHDESC,TOTTIFBV,TOTTIFEV,TOTRATE,TIFEXTAX,TIFBSTAX
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2001,0,0,7155,173345,0,0,0,0,,7155,173345,2.199674,3813.02,157.39
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2002,0,0,7155,173345,0,0,0,0,,7155,173345,2.269407,3933.9,162.38
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2003,0,0,7155,173345,0,0,0,0,,7155,173345,2.394463,4150.68,171.32
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2004,0,0,7155,173345,0,0,0,0,,7155,173345,2.372993,4113.46,169.79
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2005,0,0,7155,196810,0,0,0,0,,7155,196810,2.370005,4664.41,169.57
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2006,0,0,7155,196810,0,0,0,0,,7155,196810,2.353769,4632.45,168.41
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2007,0,0,7155,196810,0,0,0,0,,7155,196810,2.305825,4538.09,164.98
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2008,0,0,7155,196810,0,0,0,0,,7155,196810,2.269981,4467.54,162.42
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2009,0,0,7155,196810,0,0,0,0,,7155,196810,2.289484,4505.93,163.81
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2010,0,0,7155,200890,0,0,0,0,,7155,200890,2.322425,4665.52,166.17
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2011,0,0,7155,200890,0,0,0,0,,7155,200890,2.357864,4736.71,168.71
