"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export from 2014 Tax Increment Financing Report ,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS, TIF Project name & legal descriptions,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2001,0.00,0.00,"7,155.00","173,345.00",0.00,0.00,0.00,0.00,,"7,155.00","173,345.00",2.199674,"3,813.02",157.39
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2002,0.00,0.00,"7,155.00","173,345.00",0.00,0.00,0.00,0.00,,"7,155.00","173,345.00",2.269407,"3,933.90",162.38
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2003,0.00,0.00,"7,155.00","173,345.00",0.00,0.00,0.00,0.00,,"7,155.00","173,345.00",2.394463,"4,150.68",171.32
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2004,0.00,0.00,"7,155.00","173,345.00",0.00,0.00,0.00,0.00,,"7,155.00","173,345.00",2.372993,"4,113.46",169.79
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2005,0.00,0.00,"7,155.00","196,810.00",0.00,0.00,0.00,0.00,,"7,155.00","196,810.00",2.370005,"4,664.41",169.57
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2006,0.00,0.00,"7,155.00","196,810.00",0.00,0.00,0.00,0.00,,"7,155.00","196,810.00",2.353769,"4,632.45",168.41
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2007,0.00,0.00,"7,155.00","196,810.00",0.00,0.00,0.00,0.00,,"7,155.00","196,810.00",2.305825,"4,538.09",164.98
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2008,0.00,0.00,"7,155.00","196,810.00",0.00,0.00,0.00,0.00,,"7,155.00","196,810.00",2.269981,"4,467.54",162.42
01-0032,ADAMS,1,TIF BURLINGTON CENTER LP,2/16/2000,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Burlington Center, LTD Partnership
Lots 22-24, Block 18, Original Town of Hastings.
Description: TIF funds used to partially fund purchase and demolition of buildings and site preparation for the construction of new retail shoe building.",2009,0.00,0.00,"7,155.00","196,810.00",0.00,0.00,0.00,0.00,,"7,155.00","196,810.00",2.289484,"4,505.93",163.81
