ID,CNTYNAME,CNTY,TIFNAME,PROJDATE,CITYNAME,SCHNAME,BASESCH,UNIFSCH,CLASS,REMARKS,Year,RESTIFBV,RESTIFEV,COMTIFBV,COMTIFEV,INDTIFBV,INDTIFEV,OTHTIFBV,OTHTIFEV,OTHDESC,TOTTIFBV,TOTTIFEV,TOTRATE,TIFEXTAX,TIFBSTAX
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2001,0,0,76330,130855,0,0,0,0,,76330,130855,1.900576,2487,1450.71
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2002,0,0,76330,258135,0,0,0,0,,76330,258135,1.963154,5067.59,1498.48
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2003,0,0,76330,258135,0,0,0,0,,76330,258135,2.043319,5274.52,1559.67
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2004,0,0,76330,258135,0,0,0,0,,76330,258135,2.032398,5246.33,1551.33
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2005,0,0,76330,301615,0,0,0,0,,76330,301615,1.956071,5899.81,1493.07
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2006,0,0,76330,301615,0,0,0,0,,76330,301615,1.979082,5969.21,1510.63
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2007,0,0,76330,301615,0,0,0,0,,76330,301615,1.941677,5856.39,1482.08
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2008,0,0,76330,301615,0,0,0,0,,76330,301615,1.977648,5964.88,1509.54
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2009,0,0,76330,301615,0,0,0,0,,76330,301615,2.060345,6214.31,1572.66
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2010,0,0,76330,301615,0,0,0,0,,76330,301615,2.072994,6252.46,1582.32
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2011,0,0,76330,301615,0,0,0,0,,76330,301615,2.01015,6062.91,1534.35
01-0033,ADAMS,1,TIF KENESAW COMM DEVELP CORP,10/11/2000,KENESAW,KENESAW 3,01-0003,,3,"Name of Project: Kenesaw Community Redevelopment Project
Lots 66-71, inclusive, Original Town, now Village of Kenesaw
Description: TIF funds used for land acquisition and public improvements for the construction of two 4-plex structures for senior citiz",2012,0,0,76330,301615,0,0,0,0,,76330,301615,1.947844,5875,1486.79
