"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export 2017 TIF Report  certified as of 2-20-2018,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS, TIF Project name & legal descriptions,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0034,ADAMS,1,TIF ROSELAND PROJECT,36137,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2001,7475,362265,263350,321650,0,0,0,0,,270825,683915,1.968581,13463.42,5331.41
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2002,7475,484710,263350,321650,0,0,0,0,,270825,806360,1.977611,15946.66,5355.86
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2003,7475,448980,263350,321650,0,0,0,0,,270825,770630,2.092772,16127.53,5667.75
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2004,8000,631130,263350,321650,0,0,0,0,,271350,952780,2.070732,19729.52,5618.93
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2005,8000,683255,347350,332570,0,0,0,0,,355350,1015825,2.063932,20965.94,7334.18
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2006,8000,683255,347350,332570,0,0,0,0,,355350,1015825,2.058883,20914.65,7316.24
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2007,8000,684500,347350,332570,0,0,0,0,,355350,1017070,2.068758,21040.72,7351.33
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2008,8000,684500,350320,338740,0,0,0,0,,358320,1023240,2.045019,20925.45,7327.71
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2009,281485,645480,350320,338740,0,0,0,0,,631805,984220,2.048837,20165.06,12944.65
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2010,281485,645480,350320,892075,0,0,0,0,,631805,1537555,2.038218,31338.72,12877.56
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2011,281485,668605,350320,892075,0,0,0,0,,631805,1560680,2.036199,31778.55,12864.81
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2012,281485,668605,350320,892075,0,0,0,0,,631805,1560680,1.918964,29948.9,12124.11
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2013,281485,668605,350320,892075,0,0,0,0,,631805,1560680,1.794256,28002.6,11336.2
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2014,281485,899585,350320,892075,0,0,0,0,,631805,1791660,1.604313,28743.84,10136.13
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2015,281485,922530,350320,892075,0,0,0,0,,631805,1814605,1.391298,25246.56,8790.29
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2016,281485,922530,350320,916460,0,0,0,0,,631805,1838990,1.38147,25405.1,8728.2
01-0034,ADAMS,1,TIF ROSELAND PROJECT,12/8/98,ROSELAND,SILVER LAKE 123,01-0123,,3,"Name of Project: Village of Roseland Project - a municipal corporation
Blocks 18-21, Original Town of Roseland; Blocks 2 & 3 Cooks Third Addition; and, all land in Zubrod Subdivision and  Zubrod Second Subdivision, Village of Roseland.
Description: TIF funds used for infrastructure including engineering, easement acquisition, street repairs and installation of sewer and water main extension to the site to attract residential development in the area by private developers.",2017,281485,1185190,350320,913120,0,0,0,0,,631805,2098310,1.403404,29447.78,8866.78
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2004,0,0,42770,99645,0,0,0,0,,42770,99645,2.372993,2364.57,1014.93
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2005,0,0,42770,118160,0,0,0,0,,42770,118160,2.370005,2800.4,1013.65
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2006,0,0,42770,118160,0,0,0,0,,42770,118160,2.353769,2781.21,1006.71
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2007,0,0,42770,118160,0,0,0,0,,42770,118160,2.305825,2724.56,986.2
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2008,0,0,42770,118160,0,0,0,0,,42770,118160,2.269981,2682.21,970.87
01-0040,ADAMS,1,TIF BRANT REDEVELOPMENT,5/26/03,HASTINGS,HASTINGS 18,01-0018,,3,"Name of Project: Brant Redevelopment Project
Lot 7, Block 22, Original Town of Hastings
Description: TIF funds used for facade improvements on older downtown building to be used for retail and residential",2009,0,0,42770,118160,0,0,0,0,,42770,118160,2.289484,2705.25,979.21
