"NE Dept. of Revenue, Property Assessment Division",,,,,,,,,,,,,,,,,,,,,,,,,,
Excel format; data export 2019 TIF Report  certified as of 2-21-2020,,,,,,,,,,,,,,,,,,,,,,,,,,
"sorted by county, TIF project name, tax year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SCHOOL CODES & Class,,,,,,Residential,Residential,Commerical,Commerical,Industrial,Industrial,Other,Other,Other,Total TIF,Total TIF,Total,Total TIF,Total TIF
TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS,LOCATION,DESCRIPTION,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2006,0,0,"83,825","1,566,435",0,0,0,0,,"83,825","1,566,435",2.353769,"36,870.26","1,973.05"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2007,0,0,"83,825","1,643,495",0,0,0,0,,"83,825","1,643,495",2.305825,"37,896.12","1,932.86"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2008,0,0,"83,825","866,175",0,0,0,0,,"83,825","866,175",2.269981,"19,662.01","1,902.81"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2009,0,0,"83,825","866,175",0,0,0,0,,"83,825","866,175",2.289484,"19,830.94","1,919.16"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2010,0,0,"83,825","885,175",0,0,0,0,,"83,825","885,175",2.322425,"20,557.53","1,946.77"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2011,0,0,"83,825","885,175",0,0,0,0,,"83,825","885,175",2.357864,"20,871.22","1,976.48"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2012,0,0,"83,825","885,175",0,0,0,0,,"83,825","885,175",2.341526,"20,726.60","1,962.78"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2013,0,0,"83,825","885,175",0,0,0,0,,"83,825","885,175",2.307173,"20,422.52","1,933.99"
01-0046,ADAMS,1,TIF PATHWAYS PLAZA PROJ,38161,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Pathway Plaza Subdivision",TIF funds used to fund the clearing of the project area and for public improvements for the construction of a 34-unit apartment complex targeted for residents with a mental disability.,2014,0,0,"83,825","885,175",0,0,0,0,,"83,825","885,175",2.295244,"20,316.94","1,923.99"
