TIF ID#,CNTYNAME,CNTY#,TIFNAME,PROJDATE,CITYNAME,SCHOOL DISTRICT,Base School,Unified/LC,CLASS,LOCATION,DESCRIPTION,Tax Year,base value,excess value,base value,excess value,base value,excess value,base value,excess value,Description,Base Value,Excess Value,Tax Rate,Excess Taxes,Base Taxes
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2010,0,0,76335,1535,0,0,0,0,,76335,1535,2.322425,35.65,1772.82
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2011,0,0,76335,111190,0,0,0,0,,76335,111190,2.357864,2621.71,1799.88
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2012,0,0,76335,185510,0,0,0,0,,76335,185510,2.341526,4343.76,1787.4
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2013,0,0,76335,185510,0,0,0,0,,76335,185510,2.307173,4280.04,1761.18
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2014,0,0,76335,397575,0,0,0,0,,76335,397575,2.295244,9125.32,1752.07
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2015,0,0,76335,420635,0,0,0,0,,76335,420635,2.23584,9404.74,1706.73
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2016,0,0,76335,430320,0,0,0,0,,76335,430320,2.234294,9614.62,1705.55
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2017,0,0,76335,453055,0,0,0,0,,76335,453055,2.230715,10106.38,1702.82
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2018,0,0,76335,461815,0,0,0,0,,76335,461815,2.231019,10303.16,1703.05
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2019,0,0,76335,461815,0,0,0,0,,76335,461815,2.237489,10333.08,1707.99
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2020,0,0,76335,492817,0,0,0,0,,76335,492817,2.258474,11130.16,1724.01
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2021,0,0,76335,492817,0,0,0,0,,76335,492817,2.300454,11337.08,1756.05
01-0051,ADAMS,1,TIF CARMICHAEL LIMITED LLC,01/01/2010,HASTINGS,HASTINGS 18,01-0018,,3,"Lots 4 & 5 Oliver's Addition City of Hastings, 813 & 817 W 2nd",Renovation of 100 yr old downtown building including construction of residential condo's on 2nd floor and two commercial condos on main floor. Removal of 60's façade to expose 2nd level windows and installation of new storefronts.,2022,0,0,76335,612488,0,0,0,0,,76335,612488,2.359137,14449.46,1800.85
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2012,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.341526,46649.88,7490.07
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2013,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.307173,45965.46,7380.18
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2014,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.295244,45727.8,7342.03
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2015,0,0,319880,1992285,0,0,0,0,,319880,1992285,2.23584,44544.3,7152
01-0052,ADAMS,1,TIF VILLAGE GARDENS - HOUSING,01/01/2012,HASTINGS,HASTINGS 18,01-0018,,3,"Lot 1, Good Samaritan Second Subdivision","Provide funding for water, sewer and street improvements for 40 units of low to moderate income senior rental housing.",2016,0,0,319880,2037185,0,0,0,0,,319880,2037185,2.234294,45516.7,7147.06
